2026-01-14 20:41:41,974 INFO    MainThread:362153 [wandb_setup.py:_flush():68] Configure stats pid to 362153
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_setup.py:_flush():68] Loading settings from /home/user/.config/wandb/settings
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_setup.py:_flush():68] Loading settings from /home/user/2024_cty/RCL_TMD/wandb/settings
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:_log_setup():476] Logging user logs to /home/user/2024_cty/RCL_TMD/wandb/offline-run-20260114_204141-kxqbml2s/logs/debug.log
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:_log_setup():477] Logging internal logs to /home/user/2024_cty/RCL_TMD/wandb/offline-run-20260114_204141-kxqbml2s/logs/debug-internal.log
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:init():516] calling init triggers
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'device': '3', 'model': 'RCLMuFN', 'text_name': 'text_final', 'simple_linear': False, 'num_train_epochs': 12, 'train_batch_size': 24, 'dev_batch_size': 24, 'label_number': 2, 'text_size': 512, 'image_size': 768, 'adam_epsilon': 1e-08, 'optimizer_name': 'adam', 'learning_rate': 0.0003, 'clip_learning_rate': 5e-06, 'max_len': 77, 'layers': 3, 'max_grad_norm': 3.0, 'weight_decay': 0.03, 'warmup_proportion': 0.2, 'dropout_rate': 0.1, 'output_dir': '../output_dir/exp_hard_neg/', 'limit': None, 'seed': 42, 'lambda_ratio_start': 0.0, 'lambda_ratio_end': 0.005, 'lambda_itm_start': 0.0, 'lambda_itm_end': 0.003, 'lambda_warmup_epochs': 3, 'lambda_ramp_epochs': 5, 'lambda_schedule': 'linear', 'neg_sampling': 'low_sim', 'tau_schedule_mode': 'epoch', 'resume_from': None, 'freeze_clip': False}
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:init():569] starting backend
2026-01-14 20:41:41,975 INFO    MainThread:362153 [wandb_init.py:init():573] setting up manager
2026-01-14 20:41:41,978 INFO    MainThread:362153 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-01-14 20:41:41,980 INFO    MainThread:362153 [wandb_init.py:init():580] backend started and connected
2026-01-14 20:41:41,986 INFO    MainThread:362153 [wandb_init.py:init():658] updated telemetry
2026-01-14 20:41:42,013 INFO    MainThread:362153 [wandb_init.py:init():727] starting run threads in backend
2026-01-14 20:41:45,153 INFO    MainThread:362153 [wandb_run.py:_console_start():1954] atexit reg
2026-01-14 20:41:45,153 INFO    MainThread:362153 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2026-01-14 20:41:45,154 INFO    MainThread:362153 [wandb_run.py:_redirect():1877] Wrapping output streams.
2026-01-14 20:41:45,154 INFO    MainThread:362153 [wandb_run.py:_redirect():1899] Redirects installed.
2026-01-14 20:41:45,154 INFO    MainThread:362153 [wandb_init.py:init():764] run started, returning control to user process
2026-01-14 20:41:50,265 INFO    MainThread:362153 [wandb_watch.py:watch():51] Watching
